crop,crop1
Forest,Forest
Grassland,Grassland
OtherArableLand,OtherArableLand
Pasture,Pasture
UnmanagedForest,UnmanagedForest
UnmanagedPasture,UnmanagedPasture
Shrubland,Shrubland
Corn,Cropland
FiberCrop,Cropland
FodderGrass,Cropland
FodderHerb,Cropland
MiscCrop,Cropland
OilCrop,Cropland
OtherGrain,Cropland
PalmFruit,Cropland
Rice,Cropland
SugarCrop,Cropland
Wheat,Cropland
biomassGrass,Biomass
biomassTree,Biomass
RootTuber,Cropland
ProtectedGrassland,Fixed
ProtectedShrubland,Fixed
ProtectedUnmanagedForest,Fixed
ProtectedUnmanagedPasture,Fixed
RockIceDesert,Fixed
UrbanLand,Fixed
Tundra,Fixed
